section,question,answer
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914","What is the series of violent attacks in 1900 and 1901 against missionaries, engineers, Chinese Christians, diplomats and merchants called?",The Chinese Boxer Rebellion
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",Which methods the British used in the South African Bour war earned international condemnation?,Scorched earth policy and amassing Boer and African women in concentration camps
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",Which basic tenets of Liberalism were retreated from in the face of changing circumstances?,"No longer a free market economy, and legislation condition workers"
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What year was the Fabian society founded?,In 1884
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",In what year was a single united Socialist party founded in Germany?,1875
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",Why was Eduard Bernstein labelled a “Revisionist”?,In his book “Evolutionary socialism” he argued for a revision of Marxist theory
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",In which year did Marx help found the International Worker’s Association known as the first international?,1864
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",In what year did the Second International succeed the first?,1889
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What is the fundamental idea behind anarchism?,Humans could only be free when the state had been abolished
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What would happen in a stateless society according to anarchist theory?,People would naturally join together in communities and share the fruits of their labor
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",Which Russian viewed all governments as repressive and declared unilateral war on them?,Michael Bakunin
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What is Syndicalism?,"Workers would amass their powers in unions and carry out a general strike, crippling against capitalist society and bringing it down"
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What did the “new right” that emerged in the 1880s among conservatives stand for?,Rejecting doctrines of human equality and embracing racist ideologies
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",How did Arthur de Gobineau help fuel anti-Semitism?,He stood for the belief that human races differed not only psychologically but also in intelligence and other qualities
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What kind of party did Adolf Stöcker found?,An anti-Semitic one
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",Who published a book blaming all the misfortune of France on the Jews?,Edouard Drumont
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What is the name of the mass attacks in Russia that killed 2000 Jews in the 1880s and 1000 on 1905?,Pogroms
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",Who came up with the idea that “God is dead” and what were the consequences?,"Nietzsche, it meant that humankind was free to drop all restraints"
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914","Who argued that science must be interpreted not rationally but intuitively, as only a reliance on human feeling could provide access to the meaningful truths?",Bergson
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",Who argued that the desire to dominate is basic part of human nature?,Gaetano Mosca
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What does being avant-garde mean?,Breaking the taboos of society and the conventions of one’s craft
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",Who did the Reform Bill of 1884 extend the vote to?,2/3 of every adult man
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What was suggested for Ireland by Gladstone in 1886?,“home rule” (was opposed)
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",When did the home-rule bill get through the house of Commons and when did it go into effect?,1911 and September 1914
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",Why did protestants in Northern Ireland arm themselves in their determination to resist home rule?,They feared Catholic domination
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What did David Lloyd George propose?,Raising income taxes and death duties and levying tax on landed wealth
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",Who sacrificed her life to the cause of female suffrage in 1913?,Emily Wilding Davidson
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What was the Dreyfus affair?,"When in 1894, Captain Dreyfus was arrested and charged with passing military secrets to the German embassy. He was the only Jewish officer, the letter turned out to be forged, but he still got life in prison. General staff refused to reopen the case when they found out who actually did it. Retrial in 1899, Dreyfus again guilty, but pardoned. Fully exonerated in 1906."
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What law ended the privileged position of the Catholic Church in France?,One in 1905 separating Church and State
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914","When rural militancy led to a revolt in 1907, troops were sent in… what title did they gain?",“Government of assassins”
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",Why did the Italian government declare martial law in 1893?,"A Sicilian labor movement won adherence of 300,000 workers, who seized land an attacked government offices."
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",In what year was Libya attacked by Italy and wrestled from the Ottoman Empire?,1911
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What is Weltpolitik?,"The policy pursued, with nationalistic appeals and bombastic threats, by Kaiser Wilhelm II to make Germany a world power"
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What was special about the German Elections of 1912?,One-third of all Germans voted for Socialist Party candidates
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What did the Habsburg government introduce in 1907?,Universal male suffrage
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What did the introduction of universal male suffrage in the Habsburg empire achieve?,That a workable majority was nearly impossible
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",Who did the Young Turks overthrow in July 1908?,Abdul Hamid
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914","Why did the Great Reforms of the 1860s, that were intended to resolve Russia’s problems instead unleash new forces?",Because they coincided with major social changes
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What did the Russian university youths populist movement in the 1870s hope to do and what did they encounter?,"Bring change to the countryside, encountered peasant suspicions and government repression"
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What did Tsar Alexander II create in 1881 before his assassination?,An advisory committee that some thought would eventually lead to a democratic government
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",In what year was the Russian Social Democratic Party founded?,1898
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What did the Menshevik faction of the Russian Social Democratic party believe?,That history had to go through the stages Marx had outlined
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What were the Bolsheviks?,"A Faction of the Russian Socialist Democratic party led by Lenin, who insisted that an exclusive revolutionary cadre could seize power on behalf of the working class"
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",Why did Russia and Japan have a war in 1904?,Dispute over control of northern Korea
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",Why was it “bloody Sunday”?,Workers that had gathered to protest were shot at
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",How did Nicholas hope to disarm the opposition?,"By meeting some of its demands, he granted liberties and established an elective assembly, the Duma"
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What was the Triple Alliance?,"A military alliance established in 1882 among Germany, Austria-Hungary, and Italy to counter the Franco-Russian Alliance"
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What was stated by the Reinsurance Treaty of 1887?,It assured to Russia that Germany would not honor its alliance with Austria if the latter attacked Russia
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",Why did Russia turn to France for the Franco-Russian alliance in 1894?,Because it was alarmed after Kaiser Wilhelm allowed the Reinsurance Treaty to lapse after Bismarck’s resignation
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",Why did Germany lose British goodwill in the 1890s?,Due to the Weltpolitik building up the navy
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What did the understanding France and Britain signed in 1904 resolve?,Their rivalries in Egypt
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",What 3 countries made up the Triple Entente?,"Great Britain, France, Russia"
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",Why did most Europeans not fear war?,"There had been no major conflict since the Crimean War that ended in 1856, and there was the belief that the next war would be short"
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",Who took control of Serbian government after a bloody military coup in 1903 that killed the king and queen of Serbia?,A pro-Russian party
"Chapter 5: Imperialism and Escalating Tensions, 1880-1914",In what year did Austria annex the province of Bosnia?,1908
"Chapter 6: War and Revolution, 1914-1919",Why was there an unexpected display of patriotism from the social left at the start of the first world war?,National defense against a more backward aggressor seemed essential to the eventual creation of socialism
"Chapter 6: War and Revolution, 1914-1919",What was the sacred Union?,An agreement between leaders of different French political groups to cooperate during World War I
"Chapter 6: War and Revolution, 1914-1919",What was the German fortress truce to accomplish?,Suspend labor conflict during WWI
"Chapter 6: War and Revolution, 1914-1919",Which countries intervened later in WW1 on the side of the central powers?,The Ottoman Empire and Bulgaria
"Chapter 6: War and Revolution, 1914-1919",Which countries intervened later in WW1 on the side of the entente?,Italy and Romania
"Chapter 6: War and Revolution, 1914-1919",What common reason did Bulgaria and Romania have for joining the conflict in WW1?,Hopes of territorial expansion
"Chapter 6: War and Revolution, 1914-1919",What did the German Schlieffen Plan include?,"Germany would concentrate first on France, and after defeating France in 6 weeks they would focus on Russia"
"Chapter 6: War and Revolution, 1914-1919",How did the Entente manage to undercut the Schlieffen plan?,By digging along the Aisne river and holding the Germans off at the Battle of Marne
"Chapter 6: War and Revolution, 1914-1919",When did the tides turn at the battle of Verdun?,When general Philippe Pétain assumed control of French defense
"Chapter 6: War and Revolution, 1914-1919",How many casualties fell in one day at the British attack on Somme river?,"60,000"
"Chapter 6: War and Revolution, 1914-1919","A certain French officer sought new offensive in 1917, provoking increasing resistance among French soldiers. Who was this?",Robert Nivelle
"Chapter 6: War and Revolution, 1914-1919",Why did British general Douglas Haig believe Nivelle’s offensive had failed?,Simply because of tactical mistakes
"Chapter 6: War and Revolution, 1914-1919",Why was 1917 seen as a turning point?,Because the Germans started to concentrate more on the eastern front and the US joined the war
"Chapter 6: War and Revolution, 1914-1919",Why did the USA join the first world war?,"Because Germany had torpedoed the Lusitania, a British passenger liner that has Americans on it and decided to resume with submarines after"
"Chapter 6: War and Revolution, 1914-1919",How did the Easter Rebellion in Dublin in 1916 intensify demands for full independence?,The brutality with which British forces crushed the uprising intensified it
"Chapter 6: War and Revolution, 1914-1919",How did new bomb technologies make civilians more vulnerable to wartime violence?,"They could not also easily be reached, nigh bombing to demoralize civilian populations"
"Chapter 6: War and Revolution, 1914-1919",What is a total war?,A war that required the mobilization of all a nation’s resources and energies
"Chapter 6: War and Revolution, 1914-1919",What was the Kriegsrohstoffabteilung?,“War Raw Materials Office” that coordinated Germany’s World War I economy
"Chapter 6: War and Revolution, 1914-1919",What effect did the wartime economy have for women?,"They were called on to assume new economic roles, which intensified the debate over the socio-political role of women that the movement for women’s suffrage had stimulated"
"Chapter 6: War and Revolution, 1914-1919",Who came up with “Mobilization of Enthusiasm” and what did it entail?,"Elie Halévy, censorship because concerns of morale and propaganda"
"Chapter 6: War and Revolution, 1914-1919",What did German intellectuals sign in October 1914?,A manifesto justifying Germany’s conduct in Belgium and its larger purpose in the war
"Chapter 6: War and Revolution, 1914-1919",What is a “white peace”?,A peace without victory for either side
"Chapter 6: War and Revolution, 1914-1919",What was the nickname of Grigori Rasputin when he emerged as the key political power with the German-born Empress Alexandra and why?,Holy man because he allegedly controlled the breathing of her sick son
"Chapter 6: War and Revolution, 1914-1919",By whom was Rasputin assassinated?,Aristocrats seeking to save the autocracy from these apparently pro-German influences
"Chapter 6: War and Revolution, 1914-1919",Who spearheaded the renewed demonstrations in Petrograd?,Women protesting the lack of bread and coal
"Chapter 6: War and Revolution, 1914-1919",What was the Petrograd Soviet?,"The Soviet council of leaders of strike committees and army regiments elected in March 1917, when Petrograd’s workers protested in response to severe wartime shortages"
"Chapter 6: War and Revolution, 1914-1919",In what two areas did the provisional government after Nicholas’s abdication fail?,They persisted in fighting the war and dragged their feet on agrarian reforms
"Chapter 6: War and Revolution, 1914-1919",Who assisted Lenin in coming back to Russia?,"German military, who hoped to undermine the Russian war effort"
"Chapter 6: War and Revolution, 1914-1919",To which country did Lenin escape in April of 1917?,Finland
"Chapter 6: War and Revolution, 1914-1919",Who headed the provisional government?,Alexander Kerensky
"Chapter 6: War and Revolution, 1914-1919","During the Bolshevik revolution, who organized the seizure of power and modified Lenin’s aggressive strategy?",Leon Trotsky
"Chapter 6: War and Revolution, 1914-1919",What consequence did the Bolsheviks publishing the tsarist documents have?,Allied war agreements were no longer a secret
"Chapter 6: War and Revolution, 1914-1919",Which US president insisted in the potential of an allied victory?,Woodrow Wilson
"Chapter 6: War and Revolution, 1914-1919",What were the Fourteen points?,Proposals by US president Woodrow Wilson to guide the new international order that would follow an allied victory in World War I
"Chapter 6: War and Revolution, 1914-1919",What was the Treaty of Brest-Litovsk?,"Harsh peace terms that Germany imposed on Russia in March 1918, made France mad"
"Chapter 6: War and Revolution, 1914-1919",Who persuaded the British to accept the French general Ferdinand Foch as the first supreme commander of all Allied forces in the West?,President Raymond Poincare of France
"Chapter 6: War and Revolution, 1914-1919",On which day did the American troops go into action for the first time?,June 4th
"Chapter 6: War and Revolution, 1914-1919",Which illness coincided with the arrival of American troops?,Influenza (Spanish flu)
"Chapter 6: War and Revolution, 1914-1919",During which battle did Germany lose the initiative for good in World War I?,The second Battle of Marne that began July 15th
"Chapter 6: War and Revolution, 1914-1919",Where and when did the Italians win over the Austrians in WW1?,At the line at Caporetto in late 1917
"Chapter 6: War and Revolution, 1914-1919",On which day did anti-war socialists in Munich hold an uprising that expelled the king of Bavaria?,November 7
"Chapter 6: War and Revolution, 1914-1919",Which nations lost the most people in World War I?,"Germany highest number, France most proportionally"
"Chapter 6: War and Revolution, 1914-1919",Why did the Bolshevik Revolution complicate the search for peace?,Potential for spread
"Chapter 6: War and Revolution, 1914-1919",Who led the communist regime in Hungary that governed Budapest and other parts of the country from March to August 1919?,Béla Kun
"Chapter 6: War and Revolution, 1914-1919",What was the Sykes-Picot Agreement?,The division of the Ottoman territories in the Middle East into colonial spheres of influence
"Chapter 6: War and Revolution, 1914-1919",What was declared in the Balfour Declaration of 1917?,That the British government looked with favor on the prospect of a Jewish home in Palestine
"Chapter 6: War and Revolution, 1914-1919",How did Peacemakers seek to establish a moral basis for their treatment of Germany?,By assigning responsibility for the war to Germany and its allies
"Chapter 6: War and Revolution, 1914-1919",What led China and Siam (Thailand) to associate with the Allied side in 1917?,Hope that support for the Western powers in wartime would eventually be rewarded
"Chapter 6: War and Revolution, 1914-1919","German colonies and Ottoman territories were not simply taken over by the victors, but…?",Were placed under the authority of the League of Nations
"Chapter 6: War and Revolution, 1914-1919",Why did the Arab people and the Chinese feel betrayed after WW1?,"Because the victorious powers generally operated as before, assimilating the new territories into their existing systems of colonial possessions"
Chapter 7: The Illusion of Stability,What happened in the Washington Treaty in 1922?,Japan won naval parity with Britain and the United States in East Asia
Chapter 7: The Illusion of Stability,To what did the British government’s promise in 1917 to extend the scope for Indian involvement in the colonial administration in India lead?,Amritsar Massacre (troops fired into a crowd)
Chapter 7: The Illusion of Stability,What did Gandhi do in 1921?,He shed his European clothes in favor of simple Indian attire
Chapter 7: The Illusion of Stability,Who were the “untouchables”?,The lowest group in India’s long-standing caste system
Chapter 7: The Illusion of Stability,What did the Western-educated Africans in the Gold Coast ask the British governor for in March 1919?,To establish representative institutions
Chapter 7: The Illusion of Stability,Why was Britain pulling away from the Continent in the interbellum?,"To concentrate on its empire, and because they wanted to avoid getting dragged into the uncertain situation in east-central Europe"
Chapter 7: The Illusion of Stability,What did France do when Germany was foot-dragging in paying reparations in 1923?,French troops occupied the Ruhr industrial area and forced compliance
Chapter 7: The Illusion of Stability,How did the British leaders view French policy regarding Germany?,Unnecessarily vindictive
Chapter 7: The Illusion of Stability,What was the Maginot Line?,"A 200-mile system of elaborate permanent fortifications on France’s eastern border, named for war minister Maginot and built primarily during the 1930s, it was a defense against German frontal assault."
Chapter 7: The Illusion of Stability,Who founded fascism and in what year?,Benito Mussolini in 1919
Chapter 7: The Illusion of Stability,After which event were the Bolsheviks renamed communists?,"When after November 1917, they could not claim majority support in Russia and dispersed the assembly by force"
Chapter 7: The Illusion of Stability,What affected Communists’ perceptions and priorities during their civil war?,The need to launch a new communist regime
Chapter 7: The Illusion of Stability,What was the Comintern?,The Third International expected to translate their success in Russia into leadership of the international socialist movement
Chapter 7: The Illusion of Stability,What was “war communism”?,A rough-and-ready controlled economy in which food and supplies were commandeered for the Red Army
Chapter 7: The Illusion of Stability,"After Lenin died, who wanted to concentrate on the gradual development of the Soviet Union?",Nikolai Bukharin
Chapter 7: The Illusion of Stability,What did Trotsky insist the top priority should be after Lenin died?,Spreading the revolution to other countries
Chapter 7: The Illusion of Stability,What did “social realism” do?,"Portrayed the achievements of the ongoing Soviet revolution in an inspiring, heroic light."
Chapter 7: The Illusion of Stability,Why was the outcome of WW1 extra disliked in Italy?,"They did not secure the gains they had sought at the Paris Peace conference, and could have avoided the war all together since no one had attacked them."
Chapter 7: The Illusion of Stability,What made fascism open to exploitation by reactionary interests?,Antisocialist posture
Chapter 7: The Illusion of Stability,Where did Mussolini call for Italian intervention in the war?,In his newspaper Il popolo d’Italia
Chapter 7: The Illusion of Stability,Where does the term fascist come from?,"The ancient Roman fasces, a symbol of power and unity"
Chapter 7: The Illusion of Stability,Which socialist denounced the renewed fascist violence in 1924 as was murdered by fascist thugs?,Giacomo Matteotti
Chapter 7: The Illusion of Stability,What was corporativism?,The system established in fascist Italy beginning in 1926 that sought to involve people in public life not as citizens but as producers through their roles in the economy
Chapter 7: The Illusion of Stability,What did businesses foster by adapting Taylorism and Fordism?,A new cult of efficiency and productivity
Chapter 7: The Illusion of Stability,What did Frederick W. Taylor argue for?,"That breaking down assembly-line production into small, repetitive tasks was the key to maximizing worker efficiency"
Chapter 7: The Illusion of Stability,What did Henry Ford argue for?,He linked the gospel of mass production to mass consumption; workers should be paid enough to buy the product their produced
Chapter 7: The Illusion of Stability,Why was the wider place of women in society uncertain after WWI?,As the new sense of openness clashed with the desire to return to normal
Chapter 7: The Illusion of Stability,What new fear that the tremendous loss of French lives in WWI produced?,That France could not withstand another such challenge
Chapter 7: The Illusion of Stability,Who led the first Labor government in Britain in January 1924?,Ramsay MacDonald
Chapter 7: The Illusion of Stability,Who led the conservatives during the first Labor government in Britain in 1924?,Stanley Baldwin
Chapter 7: The Illusion of Stability,Why did union leadership accept a compromise after the coal industry strike of May 1926?,Threats of arrest and growing public backlash
Chapter 7: The Illusion of Stability,Who led the Coup d’état in Poland that replaced parliamentary government with an authoritarian regime that stressed national unity?,Marshal Josef Pilsudski
Chapter 7: The Illusion of Stability,What proved unconducive to democracy in the countries of east-central Europe,An overwhelmingly agrarian society
Chapter 7: The Illusion of Stability,Which revolutionary socialists were captured and murdered in the Weimar Republic?,Karl Liebknecht and Rosa Luxemburg
Chapter 7: The Illusion of Stability,Which 2 people agreed to preserve the old imperial officer corps to prevent further revolution?,"Moderate socialist leader Friedrich Ebert and General Wilhelm Groener, new army lead"
Chapter 7: The Illusion of Stability,Gustav Noske began to organize “Free Corps” volunteer paramilitary groups to be used against…?,Revolutionaries
Chapter 7: The Illusion of Stability,What was the Kapp Putsch?,"A right wing coup attempt, the army declined to defend the republic, but government managed to survive thanks largely to a general strike by leftist workers"
Chapter 7: The Illusion of Stability,Why did the first government of the Weimar Republic suffer defeat in later elections?,The elections they were chosen in took place before the Treaty of Versailles
Chapter 7: The Illusion of Stability,Who was Gustav Stresemann?,"A German statesman of the Weimar Republic, he secured a reduction of Germany’s reparations payments and negotiated the Treaty of Locarno that accepted the post war border, paving the way for Germany’s entry into the League of Nations in 1926"
Chapter 7: The Illusion of Stability,Who wrote The Revolt of the Masses which expressed concern about the dangers of the emerging mass civilization?,Spanish José Ortega y Gasset
Chapter 7: The Illusion of Stability,Who showed how women in the past had suffered from the absence of a tradition of writing by women?,Virginia Woolf
Chapter 8: The Tortured Decade,Why did coal exports fall by the mid-1920s?,Because oil and hydroelectricity rapidly developing alternatives
Chapter 8: The Tortured Decade,What reduced pressure on prices during the later 1920s?,Bumper harvest
Chapter 8: The Tortured Decade,What did the shaky post-war economic system depend on?,US bank loans to Germany
Chapter 8: The Tortured Decade,Which bank in Vienna went bankrupt in May 1931?,Credit-Anstalt
Chapter 8: The Tortured Decade,What did the US Smoot-Hawley Tariff Act of June 1930 accomplish?,"Raised taxes on imports by 50 to 100 percent, forcing other nations to take comparable steps"
Chapter 8: The Tortured Decade,What did central bankers try to do during the first years of the depression?,Sought to balance budgets in order to reassure investors and stabilize currencies by sharply reducing government spending
Chapter 8: The Tortured Decade,On whose ideas did economic policy makers base their initial responses on?,Adam Smith
Chapter 8: The Tortured Decade,Who did Franklin D. Roosevelt defeat in 1932 with the promise of a New Deal?,Herbert Hoover
Chapter 8: The Tortured Decade,Who mounted an energetic assault on the economic problem in Germany after Hitler came to power in 1933?,Hjalmar Schacht
Chapter 8: The Tortured Decade,Who was the first leader to win a mass following throughout the Indian subcontinent?,Mohandas Gandhi
Chapter 8: The Tortured Decade,What advanced the rise of the Chinese communist movement led by Mao Zedong in 1931?,The Japanese forcing of Manchuria into a puppet state
Chapter 8: The Tortured Decade,What was collectivization?,"Soviet program under Stalin that reshaped agriculture by forcing peasants into government-controlled collective farms in order to finance rapid industrialization. Served to squeeze from the peasantry the resources needed to finance industrialization, but carried out with extreme brutality."
Chapter 8: The Tortured Decade,What was Stakhanovism?,Term for the prodigious economic achievements that the regime valued as it proclaimed the superiority of the communist system
Chapter 8: The Tortured Decade,The assassination of which party leader of Leningrad indicated the potential for violence?,Sergei Kirov
Chapter 8: The Tortured Decade,Why were show trials staged?,For ideological and propaganda reasons in the USSR
Chapter 8: The Tortured Decade,Which 2 people confessed to a series of sensational trumped-up charges of having been behind the assassination of Sergei Kirov?,Nikolai Bukharin and Genrikh Yagoda
Chapter 8: The Tortured Decade,What was GULAG?,"Originally an acronym for “main camp administration”, it refers to the network of forced labor camps of political prisoners in the Soviet Union. There were at least 476 such camps."
Chapter 8: The Tortured Decade,Who was at Hitler’s side when he led the Beer Hall Putsch in Munich?,Erich Ludendorff
Chapter 8: The Tortured Decade,What was the name of the paramilitary arm of the Nazi party?,Sturmabteilung
Chapter 8: The Tortured Decade,"Which president called on Heinrich Brüning to become chancellor, but encountered opposition?",Paul von Hindenburg
Chapter 8: The Tortured Decade,What did Hitler refuse after the Nazis won 37.3 percent of the vote after the elections of 1932?,He refused to join any coalition unless he could lead it as chancellor
Chapter 8: The Tortured Decade,What is the characterization of the person that set fire to the Reichstag in Berlin on February 23rd?,A young Dutch communist
Chapter 8: The Tortured Decade,What was the Schutzstaffel?,"Also known as the SS, the specifically selected Nazi elite, entrusted with the most sensitive ideological tasks of the Nazi regime, and responsible for many of its worst atrocities"
Chapter 8: The Tortured Decade,Who created the Hitler Myth?,Joseph Goebbels
Chapter 8: The Tortured Decade,In which year were the Nuremburg Laws introduced?,1935
Chapter 8: The Tortured Decade,Why were Catholic Conservatives undermine democracy during 1933 and 1934?,They were actively hostile to the growing pro-Nazi agitations in Austria because they wanted to keep it independent
Chapter 8: The Tortured Decade,In February 1934 in France right wing demonstrations against what provoked a bloody clash with policy and forced the change of ministry?,Chamber of Deputies
Chapter 8: The Tortured Decade,What were popular fronts?,A term for antifascist electoral alliances and governing coalitions that communists promoted from 1934 until 1939 to resist the further spread of fascism
Chapter 8: The Tortured Decade,In what year did the repressive authoritarian regime in Spain win the civil war?,1939
Chapter 8: The Tortured Decade,Who led the right-wing coalition in Spain known as the CEDA?,José Maria Gil Robles
Chapter 8: The Tortured Decade,What followed the wave of land seizures that began in March 1936 in Spain?,"The most extensive strike movement in Spanish history, by June it was becoming clearly revolutionary in character"
Chapter 8: The Tortured Decade,Which 2 countries supported the nationalist insurgence in Spain?,Germany and Italy
Chapter 8: The Tortured Decade,Who was put in line to become France’s first Socialist prime minister that led French investors to begin moving their capital abroad?,Léon Blum
Chapter 8: The Tortured Decade,In 1938 a government under which person began dismantling some of the key gains of 1936 and adopted pro-business policies?,The radical Eduard Daladier
Chapter 8: The Tortured Decade,"Which country did Italy invade in October 1935, prompting the League of nations to announce sanctions against Italy?",Ethiopia
Chapter 8: The Tortured Decade,When was Austria incorporated into Germany?,March 1938
Chapter 8: The Tortured Decade,Who was Britain’s prime minister and the architect of appeasement of Hitler at the Munich conference of 1938?,Neville Chamberlain
Chapter 8: The Tortured Decade,Who led the Czechs in an attempt to liberalize their national policy?,Eduard Benes
Chapter 8: The Tortured Decade,"Which city was left a “free city”, supervised by the League of Nations?",Danzig
"Chapter 9: The Era of the Second World War, 1939-1949",What was the strategy the Germans had developed based on rapid mobility?,Blitzkrieg
"Chapter 9: The Era of the Second World War, 1939-1949",Which country did the Soviets invade November 1939?,Finland
"Chapter 9: The Era of the Second World War, 1939-1949",What was the strained winter of 1939-1940 also known as?,The “Phony war”
"Chapter 9: The Era of the Second World War, 1939-1949",What was the defect in French strategy?,"Because France had anticipated another long defensive war, their tanks had been dispersed along a broad front, which meant that once German tanks broke through the line they quickly cut through Northern France"
"Chapter 9: The Era of the Second World War, 1939-1949",What was Vichy France?,"The Authoritarian French government, headquartered in the town of Vichy that followed the Third Republic after France’s defeat by Nazi Germany in 1940"
"Chapter 9: The Era of the Second World War, 1939-1949","Who, in a radio broadcast from London on June 18th called on French forces to rally to him to continue the fight against Nazi Germany?",Charles de Gaulle
"Chapter 9: The Era of the Second World War, 1939-1949",How did Hitler hope to knock the British out of the war without actual invasion?,Aerial bombardment
"Chapter 9: The Era of the Second World War, 1939-1949",What was Operation Barbarossa?,The German assault on the Soviet Union
"Chapter 9: The Era of the Second World War, 1939-1949",Which country did Mussolini order Italian forces to attack in October 1940?,Greece
"Chapter 9: The Era of the Second World War, 1939-1949",Why did Hitler have reason to believe the Soviet Union would crack relatively easily?,In light of the Soviet purges of the 1930s and what seemed the poor performance of the Soviet army against Finland
"Chapter 9: The Era of the Second World War, 1939-1949",Which key city did the Germans fail to take in 1941?,Leningrad
"Chapter 9: The Era of the Second World War, 1939-1949",What was the furthest the Nazis got into Russia?,Stalingrad
"Chapter 9: The Era of the Second World War, 1939-1949","Himmler told the SS leaders that, to prepare for colonization, Germany would have to…?",Exterminate 30 million Slavs in the Soviet Union
"Chapter 9: The Era of the Second World War, 1939-1949",Why were the reports of the genocide that reached the West in 1942 discounted?,It was thought to be wartime propaganda
"Chapter 9: The Era of the Second World War, 1939-1949",Which plan of Jewish leaders did Roosevelt refuse in 1944?,To bomb the rail line into Auschwitz
"Chapter 9: The Era of the Second World War, 1939-1949",How did the Soviets portray the war?,The “Great Patriotic War” for national defense
"Chapter 9: The Era of the Second World War, 1939-1949",Why did Japan suffer during the Depression?,"They had become increasingly reliant on exports, and suffered increasing tariffs"
"Chapter 9: The Era of the Second World War, 1939-1949","When did Italy, Germany and Japan form a formal military intervention?",September 1940
"Chapter 9: The Era of the Second World War, 1939-1949",What heightened the determination of Japanese leaders to press forward aggressively?,The embargoes the US imposed on certain exports to Japan in 1938
"Chapter 9: The Era of the Second World War, 1939-1949",Where is Pearl Harbor?,Hawaii
"Chapter 9: The Era of the Second World War, 1939-1949",What was the Lend-Lease Act?,Act by the US congress authorizing president Franklin Roosevelt to lend or lease weapons or other aid to countries the president designated
"Chapter 9: The Era of the Second World War, 1939-1949","Which battle ended in a stalemate, stopping the string of Japanese Successes?",The Battle of Coral Sea
"Chapter 9: The Era of the Second World War, 1939-1949",What was agreed at the meeting at Casablanca in January 1943?,That the British and American forces would proceed from North Africa to Sicily and up through mainland Italy from there
"Chapter 9: The Era of the Second World War, 1939-1949",Who formed the new government in Italy after the arrest of Mussolini?,Pietro Badoglio
"Chapter 9: The Era of the Second World War, 1939-1949","Where did Churchill, Roosevelt and Stalin meet for the first time in November 1943?",Teheran
"Chapter 9: The Era of the Second World War, 1939-1949",What was the Yalta Conference?,"The 1945 meeting of Stalin, Roosevelt and Churchill in which they began outlining plans for the post war order, including the military occupation of Germany"
